Epoch,TrainError,TrainAcc,TestAcc
1,0.029583,0.9557,0.9549
2,0.013760,0.9752,0.9718
3,0.010642,0.9790,0.9717
4,0.009100,0.9801,0.9718
5,0.007601,0.9842,0.9738
6,0.006889,0.9857,0.9739
7,0.005956,0.9870,0.9747
8,0.005463,0.9879,0.9760
9,0.004963,0.9902,0.9784
10,0.004501,0.9912,0.9772
11,0.004077,0.9917,0.9773
12,0.003697,0.9935,0.9792
13,0.003390,0.9935,0.9784
14,0.003177,0.9934,0.9777
15,0.002846,0.9943,0.9783
16,0.002658,0.9947,0.9784
17,0.002457,0.9952,0.9798
18,0.002154,0.9952,0.9792
19,0.002028,0.9955,0.9786
20,0.001938,0.9953,0.9783
21,0.001804,0.9959,0.9793
22,0.001551,0.9960,0.9788
23,0.001556,0.9960,0.9797
24,0.001372,0.9962,0.9796
25,0.001280,0.9962,0.9801
26,0.001189,0.9963,0.9797
27,0.001167,0.9963,0.9798
28,0.001113,0.9964,0.9800
29,0.001077,0.9964,0.9800
30,0.001053,0.9964,0.9802
