Epoch,TrainError,TrainAcc,TestAcc
1,0.032668,0.9422,0.9375
2,0.018164,0.9535,0.9524
3,0.015712,0.9578,0.9531
4,0.014258,0.9602,0.9543
5,0.013122,0.9616,0.9524
6,0.012535,0.9649,0.9572
7,0.011858,0.9657,0.9581
8,0.011351,0.9690,0.9579
9,0.011003,0.9646,0.9522
10,0.010611,0.9650,0.9540
11,0.010200,0.9684,0.9560
12,0.009918,0.9712,0.9561
13,0.009634,0.9727,0.9584
14,0.009199,0.9724,0.9598
15,0.009036,0.9739,0.9587
16,0.008772,0.9728,0.9582
17,0.008682,0.9733,0.9582
18,0.008221,0.9765,0.9583
19,0.008217,0.9754,0.9595
20,0.008018,0.9759,0.9568
21,0.008078,0.9759,0.9592
22,0.007672,0.9781,0.9617
23,0.007579,0.9780,0.9614
24,0.007471,0.9782,0.9608
25,0.007332,0.9785,0.9607
26,0.007254,0.9780,0.9606
27,0.007132,0.9758,0.9556
28,0.006955,0.9798,0.9592
29,0.006937,0.9799,0.9586
30,0.006914,0.9770,0.9580
