Epoch,TrainError,TrainAcc,TestAcc
1,0.030043,0.9570,0.9531
2,0.015470,0.9656,0.9584
3,0.012571,0.9704,0.9655
4,0.010764,0.9742,0.9658
5,0.009918,0.9763,0.9671
6,0.009030,0.9773,0.9672
7,0.008417,0.9804,0.9689
8,0.007866,0.9807,0.9682
9,0.007403,0.9812,0.9709
10,0.006989,0.9830,0.9704
11,0.006664,0.9840,0.9716
12,0.006350,0.9827,0.9682
13,0.005991,0.9861,0.9696
14,0.005719,0.9865,0.9691
15,0.005446,0.9858,0.9714
16,0.005238,0.9857,0.9667
17,0.005123,0.9876,0.9708
18,0.004791,0.9881,0.9706
19,0.004565,0.9878,0.9688
20,0.004528,0.9883,0.9694
21,0.004343,0.9890,0.9701
22,0.004128,0.9891,0.9709
23,0.003875,0.9908,0.9705
24,0.003846,0.9906,0.9698
25,0.003701,0.9903,0.9699
26,0.003534,0.9902,0.9696
27,0.003468,0.9903,0.9702
28,0.003397,0.9911,0.9709
29,0.003272,0.9907,0.9708
30,0.003104,0.9924,0.9726
