Epoch,TrainError,TrainAcc,TestAcc
1,0.030362,0.9617,0.9580
2,0.014102,0.9737,0.9685
3,0.010745,0.9765,0.9694
4,0.009128,0.9815,0.9703
5,0.007709,0.9828,0.9722
6,0.006843,0.9875,0.9753
7,0.006102,0.9890,0.9759
8,0.005577,0.9907,0.9782
9,0.005009,0.9915,0.9773
10,0.004518,0.9929,0.9787
11,0.004189,0.9924,0.9759
12,0.003763,0.9938,0.9796
13,0.003467,0.9931,0.9767
14,0.003130,0.9944,0.9795
15,0.002860,0.9948,0.9784
16,0.002765,0.9953,0.9796
17,0.002416,0.9955,0.9803
18,0.002246,0.9958,0.9795
19,0.002052,0.9960,0.9799
20,0.001942,0.9959,0.9802
21,0.001954,0.9951,0.9793
22,0.001705,0.9966,0.9803
23,0.001625,0.9967,0.9808
24,0.001395,0.9968,0.9811
25,0.001297,0.9968,0.9811
26,0.001205,0.9969,0.9807
27,0.001163,0.9969,0.9818
28,0.001137,0.9970,0.9807
29,0.001074,0.9970,0.9808
30,0.001052,0.9971,0.9818
