Epoch,TrainError,TrainAcc,TestAcc
1,0.054809,0.9373,0.9356
2,0.022952,0.9568,0.9565
3,0.018282,0.9659,0.9605
4,0.015540,0.9693,0.9638
5,0.013693,0.9747,0.9691
6,0.012114,0.9799,0.9725
7,0.010998,0.9826,0.9738
8,0.009992,0.9850,0.9744
9,0.009151,0.9869,0.9754
10,0.008463,0.9874,0.9754
11,0.007873,0.9886,0.9766
12,0.007387,0.9897,0.9786
13,0.006888,0.9902,0.9778
14,0.006497,0.9911,0.9782
15,0.006083,0.9915,0.9784
16,0.005780,0.9920,0.9800
17,0.005470,0.9926,0.9801
18,0.005190,0.9932,0.9803
19,0.004910,0.9934,0.9802
20,0.004745,0.9938,0.9802
21,0.004498,0.9943,0.9806
22,0.004304,0.9942,0.9799
23,0.004061,0.9946,0.9811
24,0.003897,0.9948,0.9810
25,0.003742,0.9948,0.9807
26,0.003591,0.9950,0.9818
27,0.003449,0.9950,0.9802
28,0.003347,0.9954,0.9800
29,0.003234,0.9955,0.9810
30,0.003129,0.9956,0.9801
