Epoch,TrainError,TrainAcc,TestAcc
1,0.034802,0.9557,0.9567
2,0.015779,0.9725,0.9695
3,0.012193,0.9778,0.9709
4,0.009917,0.9822,0.9734
5,0.008521,0.9830,0.9725
6,0.007473,0.9873,0.9759
7,0.006659,0.9871,0.9749
8,0.005994,0.9896,0.9763
9,0.005376,0.9906,0.9764
10,0.004932,0.9914,0.9767
11,0.004403,0.9927,0.9778
12,0.004043,0.9933,0.9772
13,0.003699,0.9939,0.9774
14,0.003433,0.9943,0.9772
15,0.003227,0.9944,0.9784
16,0.002913,0.9950,0.9791
17,0.002628,0.9948,0.9787
18,0.002420,0.9955,0.9787
19,0.002302,0.9956,0.9800
20,0.002114,0.9958,0.9800
21,0.001971,0.9960,0.9794
22,0.001884,0.9961,0.9792
23,0.001803,0.9962,0.9806
24,0.001727,0.9962,0.9810
25,0.001627,0.9962,0.9805
26,0.001576,0.9963,0.9808
27,0.001515,0.9964,0.9801
28,0.001472,0.9965,0.9806
29,0.001429,0.9965,0.9797
30,0.001398,0.9965,0.9799
