Epoch,TrainError,TrainAcc,TestAcc
1,0.027021,0.9583,0.9547
2,0.013042,0.9640,0.9583
3,0.010490,0.9720,0.9641
4,0.009212,0.9780,0.9704
5,0.008112,0.9806,0.9697
6,0.007327,0.9820,0.9713
7,0.006623,0.9833,0.9709
8,0.006127,0.9859,0.9738
9,0.005722,0.9843,0.9748
10,0.005219,0.9862,0.9729
11,0.004922,0.9840,0.9697
12,0.004693,0.9879,0.9748
13,0.004377,0.9890,0.9737
14,0.004018,0.9887,0.9731
15,0.003857,0.9915,0.9752
16,0.003548,0.9909,0.9746
17,0.003461,0.9912,0.9737
18,0.003257,0.9922,0.9750
19,0.003102,0.9924,0.9749
20,0.003011,0.9934,0.9760
21,0.002733,0.9937,0.9761
22,0.002478,0.9938,0.9774
23,0.002408,0.9934,0.9757
24,0.002301,0.9934,0.9754
25,0.002252,0.9938,0.9757
26,0.002149,0.9949,0.9779
27,0.002003,0.9951,0.9768
28,0.001950,0.9947,0.9761
29,0.002013,0.9946,0.9752
30,0.001846,0.9956,0.9779
